Unnamed: 0,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
30,Bi-TiMgZr-O,1.0,0.0,0.0,0.0,0.45,0.45,0.0,0.05,0.0,600,160,20.3,36.12742,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.3578,1.3690333,-0.02666806,0.68,7.40772,3.46,0.176,0.38597000000000004,0.2765000000000001,0.3679,0.26980000000000004,0.868443540273694,0.7644730346741747,0.13968253968253969
31,,1.0,0.0,0.0,0.0,0.45,0.45,0.0,0.1,0.0,550,160,11.47,52.11268,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.498,1.43537456,-0.022335169999999998,0.7300000000000001,8.31996,3.8600000000000003,0.1846,0.41076999999999997,0.29200000000000004,0.3902,0.2831,0.9489154358953991,0.7599219699516234,0.1465079365079365
32,,1.0,0.0,0.0,0.0,0.45,0.45,0.0,0.1,0.0,600,160,12.24,47.42348,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.498,1.43537456,-0.022335169999999998,0.7300000000000001,8.31996,3.8600000000000003,0.1846,0.41076999999999997,0.29200000000000004,0.3902,0.2831,0.9489154358953991,0.7599219699516234,0.1465079365079365
33,,1.0,0.0,0.0,0.0,0.45,0.45,0.0,0.15,0.0,600,160,5.61,73.91304,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.6382000000000003,1.50171582,-0.018002280000000002,0.78,9.2322,4.26,0.19319999999999998,0.43556999999999996,0.3075,0.4125,0.29640000000000005,1.0032249243288767,0.7554247713956199,0.15333333333333332
34,BiLaSr-TiMgMnZr-O,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,550,160,26.66,64.96101,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
35,,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,600,160,50.13,50.40217,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
36,,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,650,160,37.93,48.26314,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
37,,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,550,160,12.09,67.80707,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
38,,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,600,160,31.41,54.82632,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
39,,0.869565217,0.086956522,0.043478261,0.0,0.4,0.4,0.1,0.1,0.0,650,160,29.92,56.49547,5.488260870047499,1.766945515597569,0.21754783690239365,1.4891304347499998,49.40259716538553,19.695652170749998,0.2929826086971,0.524173913071,0.41195652177500003,0.529891304385,0.4733695651225,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.6637855674448043,0.7597374662200733,0.14714285714285713
40,,0.94,0.03,0.03,0.0,0.4,0.4,0.1,0.1,0.0,600,160,28.14,43.46617,5.430325,1.7966345158750001,0.22602719205,1.4925,50.809335025,20.217499999999998,0.293229,0.52049,0.405625,0.52335,0.4900749999999999,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.4621059574323343,0.7598580037606198,0.14714285714285713
41,,0.94,0.03,0.03,0.0,0.4,0.4,0.1,0.1,0.0,620,160,38.06,49.31968,5.430325,1.7966345158750001,0.22602719205,1.4925,50.809335025,20.217499999999998,0.293229,0.52049,0.405625,0.52335,0.4900749999999999,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.4621059574323343,0.7598580037606198,0.14714285714285713
42,,0.94,0.03,0.03,0.0,0.35,0.35,0.15,0.15,0.0,600,160,21.78,53.55299,5.430325,1.7966345158750001,0.22602719205,1.4925,50.809335025,20.217499999999998,0.293229,0.52049,0.405625,0.52335,0.4900749999999999,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.57256783594904,0.7600157488309459,0.1469047619047619
43,,0.94,0.03,0.03,0.0,0.35,0.35,0.15,0.15,0.0,620,160,12.82,43.59062,5.430325,1.7966345158750001,0.22602719205,1.4925,50.809335025,20.217499999999998,0.293229,0.52049,0.405625,0.52335,0.4900749999999999,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.57256783594904,0.7600157488309459,0.1469047619047619
44,,0.92,0.04,0.04,0.0,0.4,0.4,0.1,0.1,0.0,600,160,17.91,54.20702,5.464600000000001,1.7883863545000003,0.22283941190000003,1.4900000000000002,50.330746700000006,20.04,0.293472,0.5223200000000001,0.4075000000000001,0.5253,0.48510000000000003,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5277707503115159,0.7599768822356637,0.14714285714285713
45,,0.92,0.04,0.04,0.0,0.4,0.4,0.1,0.1,0.0,620,160,36.37,44.37531,5.464600000000001,1.7883863545000003,0.22283941190000003,1.4900000000000002,50.330746700000006,20.04,0.293472,0.5223200000000001,0.4075000000000001,0.5253,0.48510000000000003,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5277707503115159,0.7599768822356637,0.14714285714285713
